tag,model,mode,freq,size_mb,storage,network,num_iterations,wall_time_cycles,gpu_time_cycles,comm_time_cycles,overlap_cycles,baseline_wall_time_cycles,overhead_pct,astra_returncode,sim_seconds,trace_key,workload
main,gpt_small,checkfreq_like,25,500,nvme_std,network_8_balanced,200,11610143208,349604808,11260538400,0,11260615200,3.10399,0,6.3,gpt_small_checkfreq_like_n25_sz500MB_nvme_std_200iter_7d7a217c7e,transformer_8dp_1pp_1tp_64B_1024S_50257V_1024d_2b_100scale_200iter
main,gpt_small,sync,25,500,nvme_std,network_8_balanced,200,13008247200,1747708800,11260538400,0,11260615200,15.51986,0,5.68,gpt_small_sync_n25_sz500MB_nvme_std_200iter_86d5171802,transformer_8dp_1pp_1tp_64B_1024S_50257V_1024d_2b_100scale_200iter
main,gpt_small,checkfreq_like,25,2000,nvme_std,network_8_balanced,200,12658719208,1398180808,11260538400,0,11260615200,12.41588,0,6.78,gpt_small_checkfreq_like_n25_sz2000MB_nvme_std_200iter_7c66ec8ffc,transformer_8dp_1pp_1tp_64B_1024S_50257V_1024d_2b_100scale_200iter
main,gpt_small,sync,25,2000,nvme_std,network_8_balanced,200,18251127200,6990588800,11260538400,0,11260615200,62.07931,0,5.85,gpt_small_sync_n25_sz2000MB_nvme_std_200iter_b13cba5e3e,transformer_8dp_1pp_1tp_64B_1024S_50257V_1024d_2b_100scale_200iter
main,gpt_small,checkfreq_like,25,5000,nvme_std,network_8_balanced,200,14755871208,3495332808,11260538400,0,11260615200,31.03965,0,5.85,gpt_small_checkfreq_like_n25_sz5000MB_nvme_std_200iter_dfc4d53c58,transformer_8dp_1pp_1tp_64B_1024S_50257V_1024d_2b_100scale_200iter
main,gpt_small,sync,25,5000,nvme_std,network_8_balanced,200,28736887200,17476348800,11260538400,0,11260615200,155.1982,0,5.54,gpt_small_sync_n25_sz5000MB_nvme_std_200iter_3230c40ce4,transformer_8dp_1pp_1tp_64B_1024S_50257V_1024d_2b_100scale_200iter
main,gpt_small,checkfreq_like,50,500,nvme_std,network_8_balanced,200,11435379204,174840804,11260538400,0,11260615200,1.55199,0,5.82,gpt_small_checkfreq_like_n50_sz500MB_nvme_std_200iter_a8bb548ea1,transformer_8dp_1pp_1tp_64B_1024S_50257V_1024d_2b_100scale_200iter
main,gpt_small,sync,50,500,nvme_std,network_8_balanced,200,12134431200,873892800,11260538400,0,11260615200,7.75993,0,6.12,gpt_small_sync_n50_sz500MB_nvme_std_200iter_81ce592cfe,transformer_8dp_1pp_1tp_64B_1024S_50257V_1024d_2b_100scale_200iter
main,gpt_small,checkfreq_like,50,2000,nvme_std,network_8_balanced,200,11959667204,699128804,11260538400,0,11260615200,6.20794,0,5.62,gpt_small_checkfreq_like_n50_sz2000MB_nvme_std_200iter_70de7be3f5,transformer_8dp_1pp_1tp_64B_1024S_50257V_1024d_2b_100scale_200iter
main,gpt_small,sync,50,2000,nvme_std,network_8_balanced,200,14755871200,3495332800,11260538400,0,11260615200,31.03965,0,6.17,gpt_small_sync_n50_sz2000MB_nvme_std_200iter_03d4501958,transformer_8dp_1pp_1tp_64B_1024S_50257V_1024d_2b_100scale_200iter
main,gpt_small,checkfreq_like,50,5000,nvme_std,network_8_balanced,200,13008243204,1747704804,11260538400,0,11260615200,15.51983,0,5.65,gpt_small_checkfreq_like_n50_sz5000MB_nvme_std_200iter_baa38c0643,transformer_8dp_1pp_1tp_64B_1024S_50257V_1024d_2b_100scale_200iter
main,gpt_small,sync,50,5000,nvme_std,network_8_balanced,200,19998751200,8738212800,11260538400,0,11260615200,77.5991,0,6.25,gpt_small_sync_n50_sz5000MB_nvme_std_200iter_70eb443386,transformer_8dp_1pp_1tp_64B_1024S_50257V_1024d_2b_100scale_200iter
main,gpt_small,checkfreq_like,100,500,nvme_std,network_8_balanced,200,11347997202,87458802,11260538400,0,11260615200,0.776,0,5.78,gpt_small_checkfreq_like_n100_sz500MB_nvme_std_200iter_5c6e34b9fa,transformer_8dp_1pp_1tp_64B_1024S_50257V_1024d_2b_100scale_200iter
