tag,model,mode,freq,size_mb,storage,network,num_iterations,wall_time_cycles,gpu_time_cycles,comm_time_cycles,overlap_cycles,baseline_wall_time_cycles,overhead_pct,astra_returncode,sim_seconds,trace_key,workload
main,bert,checkfreq_like,30,500,nvme_std,network_8_balanced,200,18773717807,305990607,18467727200,0,18467880800,1.65605,0,17.09,bert_checkfreq_like_n30_sz500MB_nvme_std_200iter_fb8adbde0c,transformer_8dp_1pp_1tp_64B_512S_30522V_1024d_2b_100scale_200iter
main,bert,sync,30,500,nvme_std,network_8_balanced,200,19997058800,1529331600,18467727200,0,18467880800,8.2802,0,16.19,bert_sync_n30_sz500MB_nvme_std_200iter_47f3928478,transformer_8dp_1pp_1tp_64B_512S_30522V_1024d_2b_100scale_200iter
main,bert,checkfreq_like,30,1000,nvme_std,network_8_balanced,200,19079547807,611820607,18467727200,0,18467880800,3.31206,0,16.21,bert_checkfreq_like_n30_sz1000MB_nvme_std_200iter_ad4c877561,transformer_8dp_1pp_1tp_64B_512S_30522V_1024d_2b_100scale_200iter
main,bert,sync,30,1000,nvme_std,network_8_balanced,200,21526222800,3058495600,18467727200,0,18467880800,16.56033,0,14.7,bert_sync_n30_sz1000MB_nvme_std_200iter_a3d5152eb2,transformer_8dp_1pp_1tp_64B_512S_30522V_1024d_2b_100scale_200iter
main,bert,checkfreq_like,30,1500,nvme_std,network_8_balanced,200,19385384807,917657607,18467727200,0,18467880800,4.96811,0,26.97,bert_checkfreq_like_n30_sz1500MB_nvme_std_200iter_bfad3414e8,transformer_8dp_1pp_1tp_64B_512S_30522V_1024d_2b_100scale_200iter
main,bert,sync,30,1500,nvme_std,network_8_balanced,200,23055400800,4587673600,18467727200,0,18467880800,24.84053,0,21.55,bert_sync_n30_sz1500MB_nvme_std_200iter_2a260682f4,transformer_8dp_1pp_1tp_64B_512S_30522V_1024d_2b_100scale_200iter
main,bert,checkfreq_like,30,2000,nvme_std,network_8_balanced,200,19691221807,1223494607,18467727200,0,18467880800,6.62415,0,18.88,bert_checkfreq_like_n30_sz2000MB_nvme_std_200iter_ed91f80903,transformer_8dp_1pp_1tp_64B_512S_30522V_1024d_2b_100scale_200iter
main,bert,sync,30,2000,nvme_std,network_8_balanced,200,24584578800,6116851600,18467727200,0,18467880800,33.12074,0,15.7,bert_sync_n30_sz2000MB_nvme_std_200iter_de58f52bae,transformer_8dp_1pp_1tp_64B_512S_30522V_1024d_2b_100scale_200iter
main,bert,checkfreq_like,30,2500,nvme_std,network_8_balanced,200,19997051807,1529324607,18467727200,0,18467880800,8.28017,0,17.79,bert_checkfreq_like_n30_sz2500MB_nvme_std_200iter_a5a5aa151a,transformer_8dp_1pp_1tp_64B_512S_30522V_1024d_2b_100scale_200iter
main,bert,sync,30,2500,nvme_std,network_8_balanced,200,26113742800,7646015600,18467727200,0,18467880800,41.40086,0,17.75,bert_sync_n30_sz2500MB_nvme_std_200iter_773259af8d,transformer_8dp_1pp_1tp_64B_512S_30522V_1024d_2b_100scale_200iter
